network,sales_2025,share,cum_share
GPA,6891306.199999482,0.2755293594810017,0.2755293594810017
OBA,2827616.159999849,0.11305422322156378,0.3885835827025655
COVABRA,2764298.439999908,0.11052264352838713,0.49910622623095263
SAVEGNAGO,1599039.1899998838,0.06393305289579512,0.5630392791267478
ST MARCHE,1485000.7200001061,0.059373547675255864,0.6224128268020036
CARREFOUR,1322112.0699999507,0.05286090637058256,0.6752737331725862
MAMBO,1283428.319999986,0.051314246194633,0.7265879793672192
ENXUTO,1034334.9899999935,0.04135495492618045,0.7679429342933997
DALBEN,551622.4000000083,0.02205505924949128,0.7899979935428909
BOA,542556.0999999985,0.021692568923366243,0.8116905624662571
HIROTA,400419.30000000325,0.01600963156343862,0.8277001940296957
SAN MICHEL,398579.3999999806,0.015936068373267883,0.8436362624029636
H.FARTURA,396287.7800000026,0.015844444438350022,0.8594807068413136
BIG BOM,312358.98000000406,0.012488789090165027,0.8719694959314787
CAETANO,303169.2999999966,0.012121365764201421,0.8840908616956801
NATURAL DA TERRA,295421.9500000041,0.01181160991803495,0.8959024716137151
BIG,199232.68000000372,0.007965754403437846,0.9038682260171529
DAOLIO,178775.93999999962,0.007147849596179254,0.9110160756133321
FRUTTIMIX,150304.4199999985,0.006009496511672367,0.9170255721250045
KALIMERA,140475.32999999978,0.005616508187923095,0.9226420803129276
CENOURAO,109674.33000000023,0.004385017443632144,0.9270270977565598
PONTO NOVO,109491.82999999965,0.004377720698044864,0.9314048184546047
BOMMIX,103946.1799999994,0.004155993590286105,0.9355608120448907
CUBATAO,102126.15999999947,0.004083225245608193,0.939644037290499
EMP. ST VERENA,98707.19000000006,0.003946527414044031,0.943590564704543
PORTUGA,96898.8900000002,0.0038742276603704103,0.9474647923649133
BIGLAR,89570.55000000008,0.0035812247422503025,0.9510460171071636
VAREJAO PASSARINHO,89283.70999999972,0.0035697562572955003,0.9546157733644591
VITORIA MAX,83082.0999999999,0.0033218024468769395,0.9579375758113361
PAGUE MENOS,77618.91999999981,0.0031033726684802755,0.9610409484798164
UNIAO,70715.42000000013,0.002827355774443968,0.9638683042542603
SEMPRE VALE,67118.34000000033,0.002683536719008303,0.9665518409732686
CASA DELIZA,65020.77999999953,0.0025996717235342616,0.9691515126968029
VILLA REAL,62777.399999999965,0.002509976528380632,0.9716614892251835
HAGAPE,62295.32000000015,0.0024907019250233527,0.9741521911502068
PALATO,56229.54,0.0022481788924300777,0.9764003700426369
M.QUALIDADE,51520.590000000295,0.002059904864303439,0.9784602749069403
DB,47392.78000000002,0.00189486607305666,0.980355140979997
EMPORIO NOVA ERA,46915.75000000004,0.001875793379645761,0.9822309343596427
SUP. TAQUARAL,38840.8500000001,0.0015529413744811537,0.9837838757341238
VAREJO,38324.64999999997,0.0015323025795653017,0.9853161783136891
EMP. VOVO,35937.18000000012,0.001436846353881974,0.9867530246675711
NOVA MAKIM,34352.300000000025,0.0013734794160938505,0.988126504083665
