store,network,sales_2025,share,cum_share
ENXUTO CAMPINAS,ENXUTO,484089.01999999624,0.019354928331640594,0.019354928331640594
CARREFOUR SP PAMPLONA PLN,CARREFOUR,409218.07999999507,0.01636142586008568,0.03571635419172627
SAVEGNAGO RP 20,SAVEGNAGO,387782.4599999965,0.01550438330860567,0.051220737500331945
COVABRA 10 CAMPINAS,COVABRA,387674.85999999824,0.015500081227371829,0.06672081872770377
COVABRA 17 JUNDIAI,COVABRA,306379.9899999976,0.012249736109897229,0.078970554837601
MAMBO SP PINHEIROS,MAMBO,301177.98,0.01204174847421313,0.09101230331181413
CARREFOUR SP OSASCO BIG WMB,CARREFOUR,254308.71000000497,0.010167813465717743,0.10118011677753187
COVABRA 12 LIMEIRA,COVABRA,254210.6399999999,0.010163892414540871,0.11134400919207274
COVABRA 03 ITATIBA,COVABRA,250742.4599999987,0.010025227060508977,0.12136923625258172
COVABRA 02 CAMPINAS,COVABRA,224389.92000000356,0.008971595389506396,0.13034083164208812
CARREFOUR SP TAMBORE BIG WMB,CARREFOUR,214232.47000000055,0.008565478521203367,0.1389063101632915
COVABRA 09 PIRASSUNUNGA,COVABRA,213549.61999999965,0.00853817669805671,0.1474444868613482
COVABRA 05 ITATIBA,COVABRA,213119.07999999958,0.008520962775617598,0.1559654496369658
COVABRA 11 LEME,COVABRA,210793.05999999985,0.008427963454133384,0.16439341309109917
OBA CPS CAROLINA FLORENCE,OBA,206011.2900000014,0.008236777924562066,0.17263019101566124
MAMBO SP VILA LEOPOLDINA,MAMBO,203464.00999999995,0.008134932148674298,0.18076512316433554
OBA CPS CAMBUI,OBA,191651.81999999948,0.007662655188354618,0.18842777835269017
DALBEN CPS BARAO 02,DALBEN,188550.56999999814,0.007538660491080702,0.19596643884377088
MAMBO SP TATUAPE,MAMBO,188275.47000000012,0.007527661396773634,0.2034941002405445
DALBEN CPS MANSOES 03,DALBEN,182310.23999999717,0.007289158571132577,0.2107832588116771
DALBEN CPS TAQUARAL 01,DALBEN,180761.58999999808,0.007227240187276694,0.21801049899895378
CAETANO 02 VALINHOS,CAETANO,166125.69999999928,0.0066420655803009895,0.22465256457925475
