store,network,state,city,sales_2024,sales_2025,qty_2024,qty_2025,price_2025,sort_2025,growth_abs,growth_pct
ENXUTO CAMPINAS,ENXUTO,SP,CAMPINAS,478741.3699999957,484089.01999999624,166898.0,165917.0,2.9176577445348952,23,5347.650000000547,0.011170227465407079
CARREFOUR SP PAMPLONA PLN,CARREFOUR,SP,SAO PAULO,95308.65999999989,409218.07999999507,19080.0,85255.6,4.79989678097386,28,313909.41999999515,3.293608576597295
SAVEGNAGO RP 20,SAVEGNAGO,SP,RIBEIRAO PRETO,318041.14999999595,387782.4599999965,103981.0,128117.0,3.026783799183532,29,69741.31000000058,0.2192839197066212
COVABRA 10 CAMPINAS,COVABRA,SP,CAMPINAS,369723.66999999527,387674.85999999824,123318.0,133972.0,2.8937006240109744,28,17951.19000000297,0.04855299094051291
COVABRA 17 JUNDIAI,COVABRA,SP,JUNDIAI,310527.68999999535,306379.9899999976,97703.0,99104.0,3.091499737649314,27,-4147.6999999977415,-0.013356940889869717
MAMBO SP PINHEIROS,MAMBO,SP,SAO PAULO,212533.51999999964,301177.98,72253.0,98260.0,3.065112762059841,21,88644.46000000034,0.41708460858315655
CARREFOUR SP OSASCO BIG WMB,CARREFOUR,SP,OSASCO,327954.0700000078,254308.71000000497,89324.0,65957.0,3.855674302955031,27,-73645.36000000284,-0.22455998182916614
COVABRA 12 LIMEIRA,COVABRA,SP,LIMEIRA,273584.4599999993,254210.6399999999,91611.0,88252.0,2.880508543715722,28,-19373.819999999425,-0.07081476776860596
COVABRA 03 ITATIBA,COVABRA,SP,ITATIBA,377785.1499999884,250742.4599999987,127652.0,88421.0,2.8357795093925504,24,-127042.68999998967,-0.336282911067292
COVABRA 02 CAMPINAS,COVABRA,SP,CAMPINAS,193225.95999999842,224389.92000000356,68267.0,84090.0,2.668449518373214,23,31163.960000005143,0.16128246949843272
CARREFOUR SP TAMBORE BIG WMB,CARREFOUR,SP,BARUERI,270575.0000000022,214232.47000000055,68790.0,50754.0,4.220996768727599,27,-56342.53000000166,-0.20823257876744417
COVABRA 09 PIRASSUNUNGA,COVABRA,SP,PIRASSUNUNGA,211338.12999999852,213549.61999999965,70524.0,73261.0,2.914915439319688,23,2211.4900000011257,0.010464226214176975
COVABRA 05 ITATIBA,COVABRA,SP,ITATIBA,81397.58999999965,213119.07999999958,28632.3,72982.0,2.9201594913814306,22,131721.48999999993,1.6182480341248495
COVABRA 11 LEME,COVABRA,SP,LEME,208358.90999999922,210793.05999999985,69825.0,74757.0,2.8197099937129613,26,2434.1500000006345,0.011682485764590744
OBA CPS CAROLINA FLORENCE,OBA,SP,CAMPINAS,219342.630000002,206011.2900000014,71212.0,65264.0,3.1565838747242188,24,-13331.340000000608,-0.06077860924709655
MAMBO SP VILA LEOPOLDINA,MAMBO,SP,SAO PAULO,162640.9900000001,203464.00999999995,55478.0,64961.0,3.132094795338741,21,40823.019999999844,0.25100080859074825
OBA CPS CAMBUI,OBA,SP,CAMPINAS,201961.6299999993,191651.81999999948,62792.0,55350.0,3.4625441734417253,26,-10309.809999999823,-0.05104836002759461
DALBEN CPS BARAO 02,DALBEN,SP,CAMPINAS,11359.409999999998,188550.56999999814,3539.0,60731.0,3.1046840987304365,28,177191.15999999814,15.59862352005942
MAMBO SP TATUAPE,MAMBO,SP,SAO PAULO,146044.02999999968,188275.47000000012,51197.0,60129.0,3.1311924362620385,22,42231.44000000044,0.2891692320459831
DALBEN CPS MANSOES 03,DALBEN,SP,CAMPINAS,7330.959999999997,182310.23999999717,2244.0,56575.0,3.222452319929247,28,174979.27999999718,23.868535635168822
DALBEN CPS TAQUARAL 01,DALBEN,SP,CAMPINAS,16095.310000000014,180761.58999999808,5352.0,58256.0,3.1028836514693436,28,164666.27999999805,10.230699501904462
CAETANO 02 VALINHOS,CAETANO,SP,VALINHOS,180787.94999999917,166125.69999999928,67738.0,60103.0,2.7640167712094117,27,-14662.249999999884,-0.0811019207862026
OBA SP SANTANA  ATALIBA,OBA,SP,SAO PAULO,108836.5600000006,164746.33000000007,31988.0,48996.0,3.362444485264105,21,55909.76999999948,0.5137039428662498
ST MARCHE SP ALPHAVILLE 31,ST MARCHE,SP,BARUERI,13667.980000000018,164138.91999999966,3361.0,40511.0,4.051712374416817,27,150470.93999999965,11.009010841397153
ENXUTO LIMEIRA,ENXUTO,SP,LIMEIRA,156939.26000000047,163113.43999999965,53697.0,58612.0,2.7829359175595383,25,6174.179999999178,0.039341207547424206
OBA SP MORUMBI,OBA,SP,SAO PAULO,125079.20000000004,161112.35000000003,45620.0,55301.5,2.9133450268075918,20,36033.149999999994,0.28808267081976835
PA FIUSA 1724,GPA,SP,RIBEIRAO PRETO,140520.8600000004,159261.58000000025,34876.0,38296.0,4.158700125339467,16,18740.719999999856,0.13336610664067816
OBA INDAIATUBA,OBA,SP,INDAIATUBA,110056.59000000004,157105.76000000007,38532.0,54048.0,2.906782119597396,22,47049.17000000003,0.4274997980584354
PA TEODORO 2349,GPA,SP,SAO PAULO,144598.0200000005,155590.78000000052,34759.0,36692.0,4.2404551400850465,17,10992.76000000001,0.07602289436604992
PA JD PAULISTA 0001,GPA,SP,SAO PAULO,169162.66,154749.89000000127,43101.0,38486.0,4.020939822273067,17,-14412.769999998738,-0.08520065834859025
OBA SP VILA MARIANA,OBA,SP,SAO PAULO,1957.5699999999993,153092.42999999964,656.0,55215.0,2.77266014669926,24,151134.85999999964,77.2053413160192
MAMBO BROOKLIM SP,MAMBO,SP,SAO PAULO,132621.72000000012,151501.42999999988,46850.0,46979.0,3.2248755827071642,23,18879.70999999976,0.14235760175633172
PA PORTAL 1216,GPA,SP,SAO PAULO,146128.27999999918,151216.09000000005,37336.0,37160.0,4.069324273412272,17,5087.810000000871,0.03481742206232008
COVABRA 04 RIO CLARO,COVABRA,SP,RIO CLARO,140434.72999999864,150298.6199999998,49166.0,56034.0,2.6822754042188635,23,9863.890000001149,0.07023825231836334
PA CLODOMIRO AMAZONAS 1704,GPA,SP,SAO PAULO,151486.55000000139,147430.76000000027,36725.0,34935.0,4.220144840417927,17,-4055.790000001114,-0.026773267989805505
MAMBO SP VILA ROMANA,MAMBO,SP,SAO PAULO,103163.24000000035,146214.6399999998,34537.0,45456.0,3.2166191481872537,21,43051.399999999456,0.4173133763538186
PA CAMBUI 0037,GPA,SP,CAMPINAS,147526.4800000004,142485.26999999993,38584.0,36023.0,3.955397107403601,17,-5041.2100000004575,-0.03417156025142365
SAVEGNAGO RP 17,SAVEGNAGO,SP,RIBEIRAO PRETO,120805.7800000006,141826.1200000008,39768.0,46468.0,3.052124472755462,29,21020.340000000215,0.17400111153622055
KALIMERA JUNDIAI,KALIMERA,SP,JUNDIAI,76209.24000000009,140475.32999999978,33365.0,54957.0,2.5560953108794107,23,64266.08999999969,0.843284751297869
PA BORBA GATO 1201,GPA,SP,SAO PAULO,123411.44999999984,139232.66999999993,30444.0,32422.0,4.294388686694218,17,15821.220000000088,0.1281989637104184
ENXUTO RIO CLARO LJ 10,ENXUTO,SP,RIO CLARO,129524.8500000006,137977.07999999975,46340.0,50994.0,2.7057512648546838,23,8452.229999999152,0.06525566329549215
PA REAL PARQUE 1299,GPA,SP,SAO PAULO,126475.9200000003,135647.28999999957,32784.0,34422.0,3.940714949741432,17,9171.369999999268,0.07251475221527737
PA PCA PANAMERICANA 1207,GPA,SP,SAO PAULO,143564.41000000032,134863.0899999993,36381.0,33061.0,4.079219926801951,17,-8701.320000001026,-0.060609171869274614
OBA SP BUTANTA,OBA,SP,SAO PAULO,141205.76000000033,134565.8100000005,51630.0,45787.0,2.9389523227116974,23,-6639.949999999837,-0.04702322341524756
PA CERRO CORA 2352,GPA,SP,SAO PAULO,99224.80999999984,134382.87999999904,25393.0,33067.0,4.063957419784046,17,35158.06999999921,0.35432741065464635
PA NOVA ALIANCA  0003,GPA,SP,RIBEIRAO PRETO,125695.71000000076,133692.91000000003,30475.0,31510.0,4.242872421453508,16,7997.1999999992695,0.06362349200302231
ST MARCHE SP FIDES 03,ST MARCHE,SP,SAO PAULO,43530.309999999976,130684.8299999992,10122.0,30947.0,4.222859404788807,27,87154.51999999923,2.0021571176497313
PA PADRE ANTONIO 1770,GPA,SP,SAO PAULO,97111.36999999992,130389.80999999952,23992.0,31031.0,4.201920982243547,17,33278.439999999595,0.34268325119910914
OBA SOROCABA CAMPOLIM,OBA,SP,SOROCABA,112796.44000000063,129206.00000000036,35921.0,40910.0,3.1582987044732427,26,16409.559999999736,0.1454794140666109
PA ALPHAVILLE II 2381,GPA,SP,SAO PAULO,120019.41999999927,129112.11999999915,31846.0,32925.0,3.921400759301417,17,9092.69999999988,0.07576023946791222
OBA CPS THE MALL,OBA,SP,CAMPINAS,132981.0100000008,128791.53000000019,40959.0,41736.0,3.085861845888446,23,-4189.480000000607,-0.03150434787644174
PA RIBEIRAO INDEPENDENCIA 1021,GPA,SP,RIBEIRAO PRETO,126560.86999999978,125933.21999999914,31821.0,30647.0,4.109153261330608,16,-627.6500000006345,-0.004959273747096038
PA ALPHAVILLE 1222,GPA,SP,SAO PAULO,116177.51999999907,125204.0899999983,28918.0,30328.0,4.128333223423843,17,9026.569999999221,0.07769635640353911
SAVEGNAGO RP 37,SAVEGNAGO,SP,RIBEIRAO PRETO,79791.21000000034,123443.22000000058,24785.0,39337.0,3.138094414927437,29,43652.01000000024,0.5470779300125923
PA WASHINGTON LUIZ 2409,GPA,SP,SAO PAULO,103100.95999999993,118594.54999999993,24487.0,27862.0,4.256498097767566,16,15493.589999999997,0.15027590431747684
ENXUTO COSMOPOLIS,ENXUTO,SP,COSMOPOLIS,106136.65000000004,118541.26999999981,34879.0,41472.0,2.8583446662808596,25,12404.619999999777,0.11687404869100138
PA MORUMBI BUTANTA 1292,GPA,SP,SAO PAULO,119948.97000000114,117665.02000000034,30652.0,29026.0,4.053780059257229,17,-2283.9500000007974,-0.019041013857816202
CAETANO 01 VALINHOS,CAETANO,SP,VALINHOS,115482.56000000007,116700.06000000013,43964.0,42840.0,2.7240910364145687,27,1217.5000000000582,0.010542717445820804
COVABRA 06 CAPIVARI,COVABRA,SP,CAPIVARI,115879.43999999973,116392.1900000001,38847.6,41240.0,2.8223130455868115,22,512.7500000003783,0.0044248574207848
OBA SP TATUAPE,OBA,SP,SAO PAULO,151001.87999999998,115665.5300000001,56253.0,35000.0,3.3047294285714313,23,-35336.349999999875,-0.23401264937893407
PA OSCAR FREIRE 1224,GPA,SP,SAO PAULO,110729.78999999956,115070.19999999963,27810.0,27687.0,4.156109365406134,17,4340.410000000076,0.03919821395850298
PA CARDOSO DE ALMEIDA 0150,GPA,SP,SAO PAULO,123721.18999999977,114740.43999999936,31195.0,27783.0,4.129879422668515,17,-8980.750000000407,-0.07258861638819047
OBA SP SANTANA ALFREDO PUJOL,OBA,SP,SAO PAULO,77064.61000000013,114584.16000000009,27227.0,34724.0,3.2998548554314047,23,37519.54999999996,0.4868583646890563
SAN MICHEL POCOS DE CALDAS 01,SAN MICHEL,MG,POCOS DE CALDAS,66645.75999999998,113859.43000000017,28833.0,48217.0,2.3613959806707214,28,47213.67000000019,0.7084272127739288
PA ANGELICA 0050,GPA,SP,SAO PAULO,122599.54999999994,111729.50999999949,30603.0,27662.0,4.039097317619821,17,-10870.04000000046,-0.08866296817566188
CARREFOUR RP BIG WMB,CARREFOUR,SP,RIBEIRAO PRETO,135181.45000000007,111036.68999999974,33624.0,27026.0,4.108513653518824,23,-24144.76000000033,-0.1786100089916206
SAVEGNAGO RP 26,SAVEGNAGO,SP,RIBEIRAO PRETO,105974.95000000058,110951.85000000102,34921.0,36078.0,3.0753326126725713,29,4976.900000000445,0.0469629851205442
BOA JUNDIAI 03,BOA,SP,JUNDIAI,87770.55000000047,110552.89000000019,29310.0,37693.0,2.932981986045159,28,22782.33999999972,0.259567018777934
SOL HORTICENTER MOGI MIRIM,PONTO NOVO,SP,SANTO ANTONIO DE POSSE,20890.510000000002,109491.82999999965,6302.0,33752.0,3.244010132732865,29,88601.31999999966,4.241223407183436
COVABRA 20 ITATIBA,COVABRA,SP,ITATIBA,9834.430000000008,109119.67999999954,3782.0,37427.0,2.915533705613582,27,99285.24999999953,10.095679159849576
OBA LIMEIRA,OBA,SP,LIMEIRA,108231.59999999963,109054.27000000009,39795.0,37882.0,2.878788606726152,25,822.6700000004639,0.007601014860728839
BIG BOM 03,BIG BOM,SP,SAO JOAO DA BOA VISTA,14155.730000000003,107381.38999999964,3759.0,36734.0,2.9232152773996742,22,93225.65999999963,6.585718998596301
BONFLEX JAGUARIUNA,FRUTTIMIX,SP,JAGUARIUNA,96210.23000000088,106185.93999999999,29703.0,35781.0,2.96766272602778,28,9975.709999999104,0.10368658301720113
D AOLIO AMPARO,DAOLIO,SP,AMPARO,108997.70999999954,105747.39999999978,31954.0,31045.0,3.4062618779191425,29,-3250.309999999765,-0.029819984291411084
OBA SP MOEMA,OBA,SP,SAO PAULO,67838.99999999987,105344.62000000021,20249.0,30533.0,3.450188975862189,20,37505.620000000345,0.5528622178982652
BOA JUNDIAI 06,BOA,SP,JUNDIAI,90307.31000000038,104464.25000000003,29056.0,35402.0,2.950800802214565,17,14156.939999999653,0.15676405376264224
SUPERMERCADOS BOMMIX  LIMEIRA,BOMMIX,SP,LIMEIRA,95295.5699999999,103946.1799999994,29291.0,32558.0,3.1926463541986423,25,8650.609999999491,0.09077662266986275
BIG BOM 01,BIG BOM,SP,MOGI GUACU,107872.10999999984,103704.98000000008,30658.0,38123.0,2.720273325813815,18,-4167.129999999757,-0.038630281728982196
HORTIFRUTI IGUATEMI,H.FARTURA,SP,CAMPINAS,96788.81000000036,101816.62999999979,25602.0,29495.0,3.451996270554324,23,5027.819999999425,0.0519462942048714
BIG BOM 02,BIG BOM,SP,MOGI GUACU,85342.69000000012,101272.61000000023,21130.0,35298.0,2.8690750184146476,22,15929.920000000115,0.1866582832109005
